YearsExperience,Salary
1.1,39343
1.3,46205
1.5,37731
243,525
2.2,39891
2.9,56642
360,150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
455,794
4.1,56957
4.5,61111
4.9,67938
5.1,66029
5.3,83000
5.9,81363
693,940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9,105582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
1.1,39343
1.3,46205
1.5,37731
243,525
2.2,39891
2.9,56642
360,150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
455,794
4.1,56957
4.5,61111
4.9,67938
5.1,66029
5.3,83000
5.9,81363
693,940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9,105582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
1.1,39343
1.3,46205
1.5,37731
243,525
2.2,39891
2.9,56642
360,150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
455,794
4.1,56957
4.5,61111
4.9,67938
5.1,66029
5.3,83000
5.9,81363
693,940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9,105582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
1.1,39343
1.3,46205
1.5,37731
243,525
2.2,39891
2.9,56642
360,150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
455,794
4.1,56957
4.5,61111
4.9,67938
5.1,66029
5.3,83000
5.9,81363
693,940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9,105582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
1.1,39343
1.3,46205
1.5,37731
243,525
2.2,39891
2.9,56642
360,150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
455,794
4.1,56957
4.5,61111
4.9,67938
5.1,66029
5.3,83000
5.9,81363
693,940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9,105582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
1.1,39343
1.3,46205
1.5,37731
243,525
2.2,39891
2.9,56642
360,150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
455,794
4.1,56957
4.5,61111
4.9,67938
5.1,66029
5.3,83000
5.9,81363
693,940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9,105582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
1.1,39343
1.3,46205
1.5,37731
243,525
2.2,39891
2.9,56642
360,150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
455,794
4.1,56957
4.5,61111
4.9,67938
5.1,66029
5.3,83000
5.9,81363
693,940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9,10582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
1.1,39343
1.3,46205
1.5,37731
243,525
2.2,39891
2.9,56642
360,150
3.2,54445
3.2,64445
3.7,57189
3.9,63218
455,794
4.1,56957
4.5,61111
4.9,67938
5.1,66029
5.3,83000
5.9,81363
693,940
6.8,91738
7.1,98273
7.9,101302
8.2,113812
8.7,109431
9,105582
9.5,116969
9.6,112635
10.3,122391
10.5,121872
